sub,Auditory,CinguloOpercular/Action-mode,Default_Anterolateral,Default_Dorsolateral,Default_Parietal,Default_Retrosplenial,DorsalAttention,Frontoparietal,Language,MedialParietal,Premotor/DorsalAttentionII,Salience,SomatoCognitiveAction,Somatomotor_Face,Somatomotor_Foot,Somatomotor_Hand,Visual_Dorsal/VentralStream,Visual_Lateral,Visual_V1,Visual_V5
14134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14136,4.43,17.43,5.78,2.92,6.28,3.88,4.69,6.75,12.76,0.69,4.29,3.62,1.77,3.39,3.04,2.42,3.19,5.21,5.75,1.71
14137,2.82,10.56,4.59,8.64,7.21,4.34,8.31,14.06,4.52,1.51,4.81,1.79,0.74,2.20,3.33,1.44,5.30,9.78,3.32,0.72
14145,0.69,4.88,3.33,3.91,7.97,3.86,11.43,26.80,2.96,3.36,1.34,3.07,0.72,3.91,2.04,2.97,7.87,5.37,2.84,0.70
14148,4.84,15.32,4.89,3.29,7.42,3.34,4.81,3.90,8.42,2.46,2.19,7.08,0.43,2.40,2.13,4.26,8.52,8.60,4.21,1.49
14164,2.05,11.47,5.62,3.73,10.11,7.89,4.79,8.04,11.61,1.50,4.14,3.37,0.09,6.15,3.76,2.74,3.81,5.27,2.58,1.26
14168,5.64,10.64,6.45,5.36,7.24,2.04,5.10,10.75,9.60,3.84,3.86,5.97,NA,2.50,2.75,2.88,2.99,6.41,5.23,0.74
14171,1.44,14.42,3.32,7.05,15.89,6.07,6.69,7.86,6.10,1.73,2.76,2.57,0.46,3.32,3.89,2.17,2.19,6.70,4.00,1.37
14172,3.16,4.89,10.32,3.29,15.99,5.41,3.37,7.49,8.88,0.13,3.17,2.10,0.52,1.62,2.93,2.28,5.89,14.00,3.74,0.84
14174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14180,3.60,20.67,2.61,4.32,9.72,7.59,4.81,6.46,7.96,0.88,3.73,3.46,0.42,2.43,3.01,2.64,4.13,7.08,3.80,0.68
14181,4.29,18.65,2.36,4.85,7.29,3.63,5.10,7.37,5.11,3.22,4.40,4.87,0.88,3.50,3.77,1.15,6.17,6.54,4.44,2.40
