sub,Auditory,CinguloOpercular/Action-mode,Default_Anterolateral,Default_Dorsolateral,Default_Parietal,Default_Retrosplenial,DorsalAttention,Frontoparietal,Language,MedialParietal,Premotor/DorsalAttentionII,Salience,SomatoCognitiveAction,Somatomotor_Face,Somatomotor_Foot,Somatomotor_Hand,Visual_Dorsal/VentralStream,Visual_Lateral,Visual_V1,Visual_V5
28004,2.64,14.82,4.66,2.56,8.02,4.89,7.22,12.84,4.61,1.10,2.54,2.84,1.24,2.46,3.23,3.25,4.54,12.34,2.85,1.32
28034,4.48,13.90,2.51,4.52,4.91,10.55,4.48,7.00,3.61,2.33,5.04,5.75,0.47,4.50,2.19,3.69,6.10,9.03,3.35,1.62
28043,5.80,14.20,2.21,2.07,3.26,6.32,6.93,13.01,6.47,1.89,1.38,5.53,1.18,4.08,4.28,1.46,5.06,9.94,3.90,1.01
28096,5.25,7.64,5.50,4.36,8.14,7.15,2.40,16.62,3.62,1.36,3.74,4.93,0.41,5.54,3.53,1.13,3.88,8.04,5.04,1.74
28129,3.39,18.38,4.86,4.04,6.08,4.86,4.05,3.89,8.00,1.12,3.41,5.97,0.51,3.98,3.03,2.87,5.29,10.89,4.23,1.13
28132,5.14,33.06,0.38,0.55,0.94,3.09,9.99,3.44,2.13,NA,5.99,1.29,0.90,3.57,4.03,1.88,5.17,11.25,3.80,3.40
28146,2.54,20.61,5.07,4.03,9.45,3.56,3.88,9.92,5.34,1.36,3.59,1.57,0.48,2.65,1.97,3.33,5.00,9.48,5.07,1.12
28167,3.54,18.05,2.25,3.60,3.32,4.10,12.65,13.94,7.25,2.34,4.16,3.83,1.07,2.53,3.12,4.33,3.10,3.62,2.49,0.70
28177,3.63,15.52,10.65,5.60,6.70,4.40,3.65,7.63,7.28,2.78,3.07,7.79,0.22,2.21,NA,0.90,4.55,7.90,5.14,0.37
28275,2.37,14.79,5.00,6.70,6.89,2.36,4.83,6.78,10.00,1.05,4.99,5.68,0.46,3.82,3.10,2.71,4.60,8.47,4.08,1.32
28279,1.31,12.48,2.87,2.02,2.48,7.01,8.53,19.68,3.48,3.23,5.05,4.35,0.17,3.44,2.26,1.06,8.15,7.96,3.52,0.97
28280,3.11,13.94,5.57,7.18,11.31,7.17,4.13,5.36,7.90,1.45,3.14,2.26,2.27,2.44,2.29,3.35,3.63,8.19,4.25,1.08
28281,2.67,9.40,6.36,4.76,8.46,3.66,5.60,8.46,7.22,1.52,2.06,8.27,0.91,2.02,4.12,3.23,5.82,10.56,4.33,0.57
28282,4.00,10.60,1.45,2.52,6.29,5.22,9.12,14.63,6.22,2.70,1.40,2.61,1.53,3.57,4.79,1.92,6.17,10.16,4.13,0.96
28284,5.82,13.24,5.22,5.20,5.34,2.00,6.86,6.89,7.76,1.52,3.01,6.15,0.11,2.88,3.76,2.95,4.86,10.03,4.41,1.94
28289,3.68,23.05,1.58,2.03,4.62,4.60,5.75,15.83,5.41,1.44,2.37,3.30,0.85,2.54,1.91,3.29,4.14,7.47,5.33,0.82
28291,3.41,15.35,2.09,3.06,3.13,2.38,11.09,10.57,6.36,1.21,2.98,5.99,1.28,3.72,3.79,2.74,6.72,8.08,3.90,2.16
28292,2.48,11.74,3.72,4.68,7.67,4.98,5.32,12.33,4.44,2.27,2.00,2.45,0.94,2.38,3.67,1.88,8.94,11.69,4.28,2.15
28297,3.89,9.38,5.08,7.15,9.00,5.54,5.20,8.00,9.66,1.50,4.47,5.95,1.02,3.10,2.57,1.68,2.85,7.67,5.02,1.28
28299,3.73,13.11,5.35,3.23,7.26,3.24,4.67,9.18,8.31,1.55,2.96,7.54,0.34,4.17,4.05,2.80,4.09,8.97,4.91,0.53
28307,3.92,12.77,4.66,3.06,9.98,5.39,6.39,9.82,5.93,3.12,1.75,6.80,0.05,3.93,2.21,1.72,4.64,9.22,3.78,0.88
28308,4.14,14.65,4.04,1.99,5.56,3.52,6.27,10.24,5.21,2.35,4.17,6.57,0.90,4.72,3.50,2.80,4.26,9.68,4.02,1.40
28312,4.13,17.00,5.99,0.77,6.37,6.16,3.94,5.80,7.47,1.74,2.32,6.85,0.84,1.38,2.62,2.42,7.87,10.96,4.03,1.37
28315,2.85,6.85,2.30,1.83,8.18,7.14,11.31,13.82,4.41,1.54,3.22,8.61,0.55,3.51,1.90,1.61,5.41,9.11,4.10,1.73
28318,5.79,22.64,3.68,4.58,7.06,3.24,4.52,4.60,7.30,0.90,5.26,3.42,NA,3.63,2.63,1.98,4.79,8.81,4.47,0.71
